estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Sorted DAG (truth),0.5156417636457993,3.73,4.29,0.603204130190868,6.02,1.0,100,20,2,10,0.5,erdos-renyi,2
Clustered DAG,0.8829164445927208,4.96,4.75,0.4065643800643801,6.0,1.0,100,20,2,10,0.5,erdos-renyi,2
Contextual DAG,0.5035962831396169,3.3892405063291138,3.5949367088607596,0.6020806550899916,4.708860759493671,1.0,316,20,2,10,0.5,erdos-renyi,2
Fixed DAG,0.9541784886451753,5.531645569620253,4.8386075949367084,0.26600395033939345,4.0,1.0,316,20,2,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.6655766261793816,4.572784810126582,4.256329113924051,0.4433101011518415,5.025316455696203,1.0,316,20,2,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.4742317947087059,2.0727848101265822,2.430379746835443,0.7296854482534618,4.262658227848101,1.0,316,20,2,10,0.5,erdos-renyi,2
Clustered DAG,0.48231999310384577,3.4145569620253164,3.857594936708861,0.6408489014501674,4.784810126582278,1.0,316,20,2,10,0.5,erdos-renyi,2
Contextual DAG,0.20870128560531345,1.441,1.625,0.8126926880309229,4.868,1.0,1000,20,2,10,0.5,erdos-renyi,2
Fixed DAG,0.9449135559504401,4.581,4.439,0.2831696969696969,3.0,1.0,1000,20,2,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.5911249695797719,3.937,2.813,0.387628576978577,5.053,1.0,1000,20,2,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.16278497877806083,1.964,2.453,0.8204413624839283,6.206,1.0,1000,20,2,10,0.5,erdos-renyi,2
Clustered DAG,0.4245575652002192,1.757,1.791,0.7816293497352318,4.988,1.0,1000,20,2,10,0.5,erdos-renyi,2
Contextual DAG,0.22068252668164187,0.4838709677419355,0.6480075901328273,0.9493686190862212,4.858633776091081,1.0,3162,20,2,10,0.5,erdos-renyi,2
Fixed DAG,0.8488869479479245,4.472485768500949,4.352308665401645,0.47629928227651197,5.0,1.0,3162,20,2,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.5255994570148367,2.7659709044908287,1.9734345351043643,0.6233521184544414,5.0600885515496525,1.0,3162,20,2,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.15377824558679176,0.6606578115117014,0.9531941808981658,0.9360763557205974,5.55977229601518,1.0,3162,20,2,10,0.5,erdos-renyi,2
Clustered DAG,0.3776550144245655,2.006641366223909,2.2517394054395954,0.7722649635837492,5.185958254269449,1.0,3162,20,2,10,0.5,erdos-renyi,2
Contextual DAG,0.23159384575268108,0.3024,0.3393,0.9555381117300312,4.823,1.0,10000,20,2,10,0.5,erdos-renyi,2
Fixed DAG,0.9357680071876462,5.0846,4.8903,0.37148057775557775,4.0,1.0,10000,20,2,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.5916541390904826,3.357,1.8788,0.5305389159473137,5.1684,1.0,10000,20,2,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.1679256677226707,0.1473,0.1891,0.9792057808488381,5.0415,1.0,10000,20,2,10,0.5,erdos-renyi,2
Clustered DAG,0.38426033812061755,1.4231,1.525,0.8370183198921822,4.9359,1.0,10000,20,2,10,0.5,erdos-renyi,2
Contextual DAG,1.0,5.09,5.09,0.0,0.0,1.0,100,20,5,10,0.5,erdos-renyi,2
Fixed DAG,0.9211701117494562,5.52,5.64,0.3167489732489732,5.0,1.0,100,20,5,10,0.5,erdos-renyi,2
Sorted DAG (fixed),1.0,5.09,5.09,0.0,0.0,1.0,100,20,5,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.7933944458510614,5.86,6.48,0.4600733151947986,5.63,1.0,100,20,5,10,0.5,erdos-renyi,2
Clustered DAG,0.9211701117494562,5.52,5.64,0.3167489732489732,5.0,1.0,100,20,5,10,0.5,erdos-renyi,2
Contextual DAG,0.8110802925181996,4.727848101265823,5.063291139240507,0.38126867880339993,3.8797468354430378,1.0,316,20,5,10,0.5,erdos-renyi,2
